event-id,visible,timestamp,Time,Month,Day,Year,Date,data-decoding-software,eobs:acceleration-axes,eobs:acceleration-sampling-frequency-per-axis,eobs:accelerations-raw,eobs:key-bin-checksum,eobs:start-timestamp,import-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
25893094959,TRUE,00:07.0,0:00:07,3,1,2023,3/1/2023,14,XYZ,10,2046 1944 1556 2046 1944 1555 2046 1945 1556 2046 1944 1555 2047 1945 1555 2047 1944 1556 2048 1943 1555 2048 1944 1556 2050 1942 1555 2050 1942 1556 2051 1941 1556 2050 1941 1556 2049 1941 1556 2048 1941 1556 2050 1942 1556 2051 1943 1556 2052 1943 1556 2051 1943 1557 2051 1943 1554 2050 1942 1556 2050 1942 1557 2050 1942 1555 2048 1941 1556 2049 1942 1556 2049 1942 1556 2049 1941 1556 2050 1942 1555 2050 1942 1557 2050 1942 1557 2050 1943 1559 2050 1942 1557 2050 1941 1555 2050 1942 1556 2049 1941 1557 2051 1941 1557 2051 1941 1556 2051 1943 1557 2050 1941 1556 2049 1941 1555 2048 1941 1556,2171048742,00:07.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
25893094967,TRUE,02:00.0,0:02:00,3,1,2023,3/1/2023,14,XYZ,10,2058 1950 1553 2058 1952 1554 2057 1951 1554 2058 1952 1555 2058 1951 1554 2058 1951 1554 2057 1950 1554 2056 1951 1555 2057 1951 1554 2057 1951 1553 2057 1951 1555 2058 1951 1553 2058 1951 1554 2058 1950 1554 2057 1950 1554 2057 1950 1554 2057 1952 1555 2057 1949 1554 2058 1951 1555 2058 1950 1554 2057 1951 1554 2057 1951 1554 2055 1951 1554 2055 1951 1554 2057 1951 1555 2057 1950 1554 2057 1949 1554 2057 1950 1554 2057 1950 1554 2054 1952 1555 2056 1951 1554 2056 1952 1554 2057 1952 1555 2056 1953 1555 2057 1953 1553 2057 1953 1554 2059 1952 1554 2058 1952 1555 2058 1952 1555 2058 1953 1554,1983668491,02:00.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
25893094971,TRUE,04:00.0,0:04:00,3,1,2023,3/1/2023,14,XYZ,10,2060 1947 1555 2059 1949 1555 2059 1947 1554 2060 1947 1556 2061 1947 1555 2061 1947 1555 2061 1947 1554 2061 1946 1554 2061 1943 1554 2060 1945 1554 2060 1945 1556 2059 1945 1555 2060 1945 1556 2060 1945 1555 2060 1945 1554 2061 1945 1556 2061 1946 1554 2062 1946 1554 2060 1947 1556 2060 1947 1555 2060 1946 1555 2060 1945 1555 2060 1945 1555 2060 1943 1555 2060 1945 1555 2060 1945 1556 2060 1945 1556 2060 1946 1555 2059 1945 1555 2059 1947 1555 2059 1947 1556 2058 1947 1555 2059 1949 1554 2059 1948 1555 2059 1947 1555 2059 1947 1555 2059 1945 1556 2059 1946 1556 2058 1946 1555 2058 1947 1556,1397938647,04:00.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
25893094978,TRUE,06:00.0,0:06:00,3,1,2023,3/1/2023,14,XYZ,10,2060 1946 1555 2059 1947 1556 2060 1946 1555 2060 1946 1556 2060 1946 1554 2059 1946 1555 2060 1947 1555 2059 1948 1555 2060 1947 1555 2060 1950 1554 2060 1950 1554 2059 1950 1554 2059 1948 1555 2059 1949 1555 2059 1949 1555 2060 1947 1554 2060 1948 1555 2061 1948 1556 2059 1949 1555 2060 1949 1555 2060 1950 1554 2059 1950 1554 2060 1950 1554 2060 1951 1554 2061 1950 1554 2059 1951 1554 2060 1951 1554 2060 1949 1554 2060 1949 1554 2059 1949 1555 2060 1948 1555 2060 1949 1554 2060 1950 1555 2060 1948 1554 2060 1948 1554 2060 1949 1555 2060 1948 1555 2060 1947 1554 2060 1946 1556 2060 1948 1555,4040753080,06:00.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
25893094981,TRUE,08:00.0,0:08:00,3,1,2023,3/1/2023,14,XYZ,10,2062 1949 1556 2061 1950 1554 2062 1951 1554 2061 1951 1553 2061 1951 1554 2061 1952 1554 2061 1952 1554 2060 1953 1554 2062 1952 1554 2061 1953 1554 2059 1958 1552 2061 1951 1557 2062 1956 1553 2066 1946 1554 2061 1936 1559 2064 1919 1560 2064 1921 1563 2059 1878 1575 2051 1869 1577 2055 1864 1578 2056 1868 1579 2054 1869 1576 2054 1871 1574 2054 1871 1576 2053 1874 1576 2053 1875 1576 2053 1876 1574 2055 1875 1574 2056 1875 1573 2055 1873 1571 2056 1875 1574 2058 1876 1574 2056 1878 1573 2056 1879 1572 2056 1880 1574 2055 1881 1572 2056 1881 1571 2056 1881 1572 2055 1881 1572 2055 1883 1572,1439095838,08:00.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
25893094987,TRUE,10:00.0,0:10:00,3,1,2023,3/1/2023,14,XYZ,10,2060 1944 1556 2061 1945 1555 2060 1947 1556 2059 1948 1556 2059 1947 1555 2060 1949 1554 2061 1949 1553 2059 1948 1555 2060 1949 1554 2059 1945 1555 2061 1957 1549 2059 1943 1557 2058 1948 1557 2056 1942 1560 2050 1948 1551 2040 1977 1548 2049 1950 1567 2037 1943 1563 2044 1918 1564 2028 1898 1569 2024 1892 1574 2013 1888 1561 2050 1923 1568 2040 1936 1547 2038 1913 1547 2027 1921 1549 2023 1925 1550 2039 1927 1569 2014 1924 1568 2010 1913 1567 2034 1935 1551 2034 1918 1570 2024 1922 1561 2022 1923 1560 2024 1902 1563 2022 1913 1567 2028 1941 1546 2029 1910 1553 2023 1921 1555 2017 1942 1561,3077874570,10:00.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
25893094989,TRUE,12:00.0,0:12:00,3,1,2023,3/1/2023,14,XYZ,10,2073 1947 1555 2073 1947 1555 2072 1947 1555 2073 1947 1555 2072 1948 1555 2072 1948 1555 2074 1948 1555 2074 1947 1555 2074 1949 1555 2073 1948 1555 2073 1949 1556 2072 1948 1554 2073 1948 1554 2073 1949 1556 2073 1948 1555 2074 1948 1555 2075 1946 1555 2074 1947 1555 2074 1948 1555 2073 1947 1555 2073 1949 1555 2072 1949 1555 2073 1949 1555 2074 1950 1556 2073 1951 1554 2074 1952 1556 2073 1953 1554 2074 1951 1555 2074 1951 1554 2074 1950 1555 2074 1949 1555 2074 1950 1555 2074 1949 1555 2074 1949 1555 2073 1950 1555 2074 1949 1555 2074 1949 1555 2076 1949 1556 2074 1950 1555 2074 1949 1557,201129961,12:00.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
25893094996,TRUE,14:00.0,0:14:00,3,1,2023,3/1/2023,14,XYZ,10,2072 1963 1554 2073 1962 1552 2073 1961 1552 2073 1962 1552 2074 1958 1552 2074 1960 1553 2074 1961 1553 2074 1961 1553 2074 1961 1553 2073 1960 1553 2072 1960 1553 2073 1959 1552 2073 1960 1553 2073 1960 1552 2073 1961 1553 2073 1960 1552 2073 1960 1553 2073 1959 1553 2073 1960 1552 2071 1959 1553 2071 1958 1553 2072 1959 1553 2072 1959 1552 2071 1960 1553 2072 1959 1553 2072 1959 1554 2072 1959 1554 2073 1960 1553 2072 1959 1554 2073 1959 1553 2072 1960 1553 2072 1958 1554 2072 1959 1553 2072 1958 1553 2072 1958 1553 2071 1958 1553 2072 1958 1553 2072 1958 1554 2072 1959 1554 2071 1958 1553,1711326100,14:00.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
25893095000,TRUE,16:00.0,0:16:00,3,1,2023,3/1/2023,14,XYZ,10,2073 1976 1552 2072 1976 1550 2073 1975 1550 2074 1977 1551 2072 1977 1550 2071 1977 1550 2071 1977 1550 2071 1978 1551 2071 1978 1550 2071 1979 1550 2070 1980 1550 2072 1979 1551 2072 1980 1549 2071 1980 1549 2071 1980 1550 2070 1979 1550 2071 1979 1551 2072 1979 1550 2072 1978 1550 2073 1977 1551 2073 1977 1550 2073 1976 1551 2073 1977 1551 2073 1975 1549 2073 1977 1551 2074 1977 1550 2073 1977 1550 2072 1977 1550 2072 1977 1551 2072 1976 1550 2073 1977 1551 2072 1977 1551 2072 1975 1551 2072 1976 1551 2072 1977 1550 2072 1976 1551 2074 1976 1550 2073 1977 1551 2072 1976 1550 2071 1976 1551,139785894,16:00.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
25893095006,TRUE,18:00.0,0:18:00,3,1,2023,3/1/2023,14,XYZ,10,2074 1974 1553 2076 1974 1550 2076 1974 1552 2077 1972 1551 2076 1974 1551 2077 1973 1552 2077 1972 1551 2077 1973 1552 2078 1973 1552 2077 1974 1551 2076 1975 1551 2076 1975 1552 2077 1975 1550 2077 1975 1551 2077 1975 1552 2077 1976 1552 2076 1975 1551 2076 1975 1551 2077 1975 1551 2077 1975 1551 2078 1976 1551 2078 1976 1550 2077 1975 1550 2078 1976 1551 2078 1977 1551 2078 1977 1550 2078 1978 1551 2078 1978 1550 2079 1977 1551 2078 1976 1550 2078 1975 1551 2077 1976 1551 2077 1976 1551 2078 1976 1551 2078 1975 1551 2078 1975 1552 2078 1975 1551 2077 1975 1551 2079 1975 1551 2078 1975 1551,2320463231,18:00.0,FALSE,acceleration,Meleagris gallopavo,11197,11197,Eastern_Wild_Turkey_GA
